Acc_selectAllNeigbhorsOf1Node_MAT,Acc_selectMoreInterconnectedCluster2Clusters_MAT,Acc_selectNodeWithHighestDegree2_MAT
0.8666666666666668,0.8,0.8
0.7038888888888889,0.9,0.6
0.7638888888888888,0.9,0.6
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.7038888888888889,0.9,0.7
0.9022222222222223,1.0,0.5
0.6027777777777776,1.0,0.9
0.6027777777777776,1.0,1.0
0.7972222222222222,1.0,0.6
