Time_selectAllNeigbhorsOf1Node_NL,Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectNodeWithHighestDegree2_NL
16.2,2.1,4.0
17.4,5.8,8.2
18.9,4.0,4.7
19.2,3.6,4.9
18.8,2.5,6.5
19.7,3.1,5.9
19.7,3.1,5.9
19.7,3.1,5.9
19.7,3.1,5.9
15.0,3.9,11.5
20.7,8.8,7.3
18.5,7.7,6.6
20.5,7.8,10.7
26.1,6.3,11.7
22.1,2.1,6.9
13.1,2.6,6.1
23.6,3.3,10.1
23.0,3.6,6.3
28.0,5.8,12.9
