Time_selectNodeWithHighestDegree2_NL,Time_selectMoreInterconnectedCluster2Clusters_NL,Time_selectAllNeigbhorsOf1Node_NL
8.9,4.0,18.8
15.4,4.6,23.3
8.9,3.6,17.5
13.9,6.4,19.4
8.8,3.0,20.0
7.3,4.4,19.5
8.4,2.3,15.9
7.4,2.9,19.5
10.0,6.7,22.6
6.1,2.3,16.3
9.4,5.4,23.0
13.7,5.2,26.3
7.3,9.7,15.9
13.7,3.6,26.2
10.0,6.0,22.0
