Time_selectMoreInterconnectedCluster2Clusters_MAT,,,,,,,,, :: Time_selectNodeWithHighestDegree2_MAT,,,,,,,,, :: Time_selectAllNeigbhorsOf1Node_MAT,,,,,,,,,
Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10 :: Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
9,7,8,6,2,4,6,4,3,4 :: 16,14,10,8,18,9,9,10,9,17 :: 14,28,19,23,19,15,21,16,24,11
8,5,8,10,7,4,5,7,5,10 :: 20,20,20,20,20,20,20,20,20,20 :: 30,30,30,30,30,30,30,30,30,30
5,5,3,3,5,3,3,2,2,4 :: 14,14,17,11,10,10,7,10,5,19 :: 25,30,21,30,30,26,30,30,17,19
2,3,0,3,2,2,2,3,3,2 :: 8,14,11,7,8,7,6,11,8,14 :: 20,25,17,28,21,18,25,14,12,15
9,10,6,9,5,4,9,6,5,6 :: 20,13,15,16,13,9,16,8,10,16 :: 25,30,27,30,30,30,30,30,24,19
2,2,3,3,3,3,2,2,2,2 :: 15,11,15,20,11,9,7,7,7,13 :: 17,30,17,30,28,18,28,23,14,15
9,8,10,7,5,5,5,3,4,4 :: 20,20,18,20,18,18,19,20,15,20 :: 30,30,26,30,29,25,30,30,21,27
7,4,4,3,6,5,4,2,4,3 :: 13,8,15,13,8,11,7,5,20,20 :: 30,30,30,30,30,15,30,15,10,21
